Name,Company Domain Name,Website URL,Phone Number,Email,PMS,Booking URL,Number of Rooms,Lead Status,Existing Customer in Area,Description,Latitude,Longitude
Onancock Refuge,innatonancock.com,https://innatonancock.com/,+1 757-710-4155,Rooms@innatonancock.com,ThinkReservations,https://secure.thinkreservations.com/innatonancock/gift-certificates,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/innatonancock/gift-certificates,37.7128198,
The Mason Cottage Bed and Breakfast,themasoncottage.com,https://www.themasoncottage.com/,+1 609-884-3358,info@TheMasonCottage.com,ThinkReservations,https://secure.thinkreservations.com/themasoncottage/reservations,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/themasoncottage/reservations,38.9324668,
Brunswick Hotel,thebrunswickhotel.com,https://thebrunswickhotel.com/,+1 609-344-8098,,SiteMinder,https://direct-book.com/properties/TheBrunswickHotelDIRECT?_gl=1*1pfr3xt*_gcl_aw*R0NMLjE3NDc3ODYzMTMuQ2owS0NRancwTERCQmhDbkFSSXNBTXBZbEFxQzg5U214bDdLLUVGbEdFczRHT2wtZ2NmdzRvNjhMQzlmVVRjTS1QY3pzRDI0emNaSXhTUWFBcHJURUFMd193Y0I.*_gcl_au*MjAxMjE2MjA2My4xNzQ1ODY0Mzk5*_ga*MTg0MzIxODk4MS4xNzQ1ODY0Mzk5*_ga_RXG2HSQZV2*czE3NDc4NzQzNTkkbzMkZzAkdDE3NDc4NzQzNTkkajAkbDAkaDA.,,New,,PMS: SiteMinder | Booking URL: https://direct-book.com/properties/TheBrunswickHotelDIRECT?_gl=1*1pfr3xt*_gcl_aw*R0NMLjE3NDc3ODYzMTMuQ2owS0NRancwTERCQmhDbkFSSXNBTXBZbEFxQzg5U214bDdLLUVGbEdFczRHT2wtZ2NmdzRvNjhMQzlmVVRjTS1QY3pzRDI0emNaSXhTUWFBcHJURUFMd193Y0I.*_gcl_au*MjAxMjE2MjA2My4xNzQ1ODY0Mzk5*_ga*MTg0MzIxODk4MS4xNzQ1ODY0Mzk5*_ga_RXG2HSQZV2*czE3NDc4NzQzNTkkbzMkZzAkdDE3NDc4NzQzNTkkajAkbDAkaDA.,39.3579234,
Onley Inn,onleyinn.com,https://www.onleyinn.com/,+1 757-787-7787,info@onleyinn.com,ASI Web Reservations,https://reservation.asiwebres.com/SearchAvailability.aspx?id=8efc327d75fe45258cb4f2f6a7de0111,,New,,PMS: ASI Web Reservations | Booking URL: https://reservation.asiwebres.com/SearchAvailability.aspx?id=8efc327d75fe45258cb4f2f6a7de0111,37.6953191,
The Inn at Onancock,innatonancock.com,https://www.innatonancock.com/,+1 757-789-7711,Rooms@innatonancock.com,ThinkReservations,https://secure.thinkreservations.com/innatonancock/gift-certificates,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/innatonancock/gift-certificates,37.713888,
Avenue Inn & Spa,avenueinn.com,https://avenueinn.com/,+1 302-226-2900,frontdesk@avenueinn.com,IQWebBook,https://us01.iqwebbook.com/TAIDE507/~/,,New,,PMS: IQWebBook | Booking URL: https://us01.iqwebbook.com/TAIDE507/~/,38.715766,
大西洋城赌场度假村,theoceanac.com,https://www.theoceanac.com/,6097838000,,Windsurfer CRS,https://theoceanac.windsurfercrs.com/ibe/index.aspx?hotelID=15345,,New,,PMS: Windsurfer CRS | Booking URL: https://theoceanac.windsurfercrs.com/ibe/index.aspx?hotelID=15345,39.36227960000001,
Caritas Hospitality,ochotelgroup.com,https://ochotelgroup.com/,+1 609-345-2653,,IQWebBook,https://us01.iqwebbook.com/BWHMD465/,,New,,PMS: IQWebBook | Booking URL: https://us01.iqwebbook.com/BWHMD465/,39.35854459999999,
Madison Resort Wildwood Crest,madisonresortwildwoodcrest.com,https://madisonresortwildwoodcrest.com/,+1 609-884-4063,,ThinkReservations,https://secure.thinkreservations.com/madisonresorts/gift-certificates,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/madisonresorts/gift-certificates,38.969203,
ICONA Diamond Beach,icona.com,https://www.icona.com/diamond-beach?utm_source=local&utm_medium=organic&utm_campaign=website_link,+1 609-551-0102,diamondbeach@icona.com,Reseze,https://www.reseze.net/servlet/WebresResDesk?hotelid=1726,,New,,PMS: Reseze | Booking URL: https://www.reseze.net/servlet/WebresResDesk?hotelid=1726,38.9577872,
The Surf Club Oceanfront Hotel,surfclubhotel.com,http://www.surfclubhotel.com/,+1 302-227-7059,info@surfclubhotel.com,SiteMinder,https://direct-book.com/properties/surfcluboceanfronthoteldirect,,New,,PMS: SiteMinder | Booking URL: https://direct-book.com/properties/surfcluboceanfronthoteldirect,38.6922443,
Breakers Hotel & Suites,thebreakershotel.com,https://thebreakershotel.com/,+1 302-227-6688,,SynXis / TravelClick,https://be.synxis.com/?Adults=%7BAdults%3A4%7D&Capacity2=%7BChildren%3A5%7D&Children=%7BChildren%3A5%7D&adult=1%2C1%2C1%2C1&arrive=2025-07-09&chain=1295&child=0%2C0%2C0%2C0&childages=%2C%2C%2C&currency=USD&depart=2025-07-10&hotel=39484&level=hotel&locale=en-US&productcurrency=USD&rooms=4,,New,,PMS: SynXis / TravelClick | Booking URL: https://be.synxis.com/?Adults=%7BAdults%3A4%7D&Capacity2=%7BChildren%3A5%7D&Children=%7BChildren%3A5%7D&adult=1%2C1%2C1%2C1&arrive=2025-07-09&chain=1295&child=0%2C0%2C0%2C0&childages=%2C%2C%2C&currency=USD&depart=2025-07-10&hotel=39484&level=hotel&locale=en-US&productcurrency=USD&rooms=4,38.7172859,
Petersen Cottage,ococean.com,https://www.ococean.com/stay/,4102892800,ask@ococean.com,BookDirect,https://ococean.bookdirect.net/,,New,,PMS: BookDirect | Booking URL: https://ococean.bookdirect.net/,37.5441511,
Hotel Rodney,hotelrodneydelaware.com,http://www.hotelrodneydelaware.com/,+1 302-645-6466,info@hotelrodneydelaware.com,ThinkReservations,https://secure.thinkreservations.com/hotelrodneydelaware/reservations,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/hotelrodneydelaware/reservations,38.775424,
The Beach House,bhmotelwildwood.com,http://www.bhmotelwildwood.com/,+1 609-305-5583,,ResNexus,https://resnexus.com/resnexus/reservations/book/8565dcc4-bcc2-46c6-9681-7f65cbc3d994/giftshop?tabID=5,,New,,PMS: ResNexus | Booking URL: https://resnexus.com/resnexus/reservations/book/8565dcc4-bcc2-46c6-9681-7f65cbc3d994/giftshop?tabID=5,38.9795068,
Dogfish Inn,dogfish.com,https://www.dogfish.com/inn,+1 302-644-8292,644-8292innkeeper@dogfish.com,Cloudbeds,https://hotels.cloudbeds.com/en/reservation/HQTuak?currency=usd,,New,,PMS: Cloudbeds | Booking URL: https://hotels.cloudbeds.com/en/reservation/HQTuak?currency=usd,38.775014,
The Inn Berlin,theinnberlin.com,https://theinnberlin.com/,+1 443-347-3715,theinnberlin@gmail.com,ThinkReservations,https://secure.thinkreservations.com/theinnberlin/gift-certificates,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/theinnberlin/gift-certificates,38.3307419,
Neptune Vacation Suites,ocsuites.com,https://www.ocsuites.com/,,,SynXis / TravelClick,https://www.holidayinn.com/redirect?path=rates&brandCode=HI&hotelCode=oceaa&PMID=99502222&localeCode=en&checkInDate=18&checkInMonthYear=112025&checkOutDate=19&checkOutMonthYear=112025&numberOfAdults=1&numberOfChildren=0&numberOfRooms=1&_gl=1*1vjn3v5*_ga*MTI5Njc3NzgzNi4xNzY2MDkxNzk4*_ga_CYW7GNZ8DY*czE3NjYwOTE3OTgkbzEkZzAkdDE3NjYwOTE3OTgkajYwJGwwJGgw*_gcl_au*MTAyMzI4MjI3LjE3NjYwOTE3OTI.,,New,,PMS: SynXis / TravelClick | Booking URL: https://www.holidayinn.com/redirect?path=rates&brandCode=HI&hotelCode=oceaa&PMID=99502222&localeCode=en&checkInDate=18&checkInMonthYear=112025&checkOutDate=19&checkOutMonthYear=112025&numberOfAdults=1&numberOfChildren=0&numberOfRooms=1&_gl=1*1vjn3v5*_ga*MTI5Njc3NzgzNi4xNzY2MDkxNzk4*_ga_CYW7GNZ8DY*czE3NjYwOTE3OTgkbzEkZzAkdDE3NjYwOTE3OTgkajYwJGwwJGgw*_gcl_au*MTAyMzI4MjI3LjE3NjYwOTE3OTI.,37.6894667,
The Inn of Cape May,innofcapemay.com,http://www.innofcapemay.com/,+1 609-884-5555,reservations@innofcapemay.com,ThinkReservations,https://secure.thinkreservations.com/innofcapemay/reservations/availability,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/innofcapemay/reservations/availability,38.9309265,
The Cape,thecapecmnj.com,http://thecapecmnj.com/,+1 856-531-1800,thecape@eclatinvestments.com,Cloudbeds,https://hotels.cloudbeds.com/reservation/UkQfe2?_gl=1*wq48y6*_ga*YzA3YWVhMGItZjcxMS00MGRlLWJjMTQtYjAwOGE5ZDE0Y2Yw*_ga_Q97JBB3TT2*MTc0MjkyOTM5Ny4xNC4xLjE3NDI5MzAwMzQuMC4wLjA.,,New,,PMS: Cloudbeds | Booking URL: https://hotels.cloudbeds.com/reservation/UkQfe2?_gl=1*wq48y6*_ga*YzA3YWVhMGItZjcxMS00MGRlLWJjMTQtYjAwOGE5ZDE0Y2Yw*_ga_Q97JBB3TT2*MTc0MjkyOTM5Ny4xNC4xLjE3NDI5MzAwMzQuMC4wLjA.,38.966891,
The Waypoint Rehoboth,larkindependent.com,https://www.larkindependent.com/hotels/the-waypoint,+1 302-251-6232,stay@TheWaypointRehoboth.com,Mews,about:blank,,New,,PMS: Mews | Booking URL: about:blank,38.713633,
Ocean city boardwalk,ocsuites.com,https://www.ocsuites.com/,,,SynXis / TravelClick,https://www.holidayinn.com/redirect?path=rates&brandCode=HI&hotelCode=oceaa&PMID=99502222&localeCode=en&checkInDate=18&checkInMonthYear=112025&checkOutDate=19&checkOutMonthYear=112025&numberOfAdults=1&numberOfChildren=0&numberOfRooms=1&_gl=1*1qus299*,,New,,PMS: SynXis / TravelClick | Booking URL: https://www.holidayinn.com/redirect?path=rates&brandCode=HI&hotelCode=oceaa&PMID=99502222&localeCode=en&checkInDate=18&checkInMonthYear=112025&checkOutDate=19&checkOutMonthYear=112025&numberOfAdults=1&numberOfChildren=0&numberOfRooms=1&_gl=1*1qus299*,38.325865,
Walk to Beach: Home w/ Pool Access in White Stone,beachwalkhotel.com,https://beachwalkhotel.com/,+1 877-818-1014,info@beachwalkhotel.com,IQWebBook,https://us01.iqwebbook.com/BWHMD465/,,New,,PMS: IQWebBook | Booking URL: https://us01.iqwebbook.com/BWHMD465/,37.617317,
The Mariners Motel at Rock Hall Landing Marina,marinersmotel.com,https://www.marinersmotel.com/,+1 410-639-2224,,ThinkReservations,https://secure.thinkreservations.com/rockhalllanding/reservations,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/rockhalllanding/reservations,39.1351277,
Shore Trailer Sales,theshorehouseoc.com,https://theshorehouseoc.com/,+1 757-442-9275,,IQWebBook,https://us01.iqwebbook.com/BIMD908/,,New,,PMS: IQWebBook | Booking URL: https://us01.iqwebbook.com/BIMD908/,37.4545988,
Trailer,ococean.com,https://www.ococean.com/stay/,4102892800,ask@ococean.com,BookDirect,https://ococean.bookdirect.net/,,New,,PMS: BookDirect | Booking URL: https://ococean.bookdirect.net/,38.337,
Highland House,highlandhousecapemay.com,http://www.highlandhousecapemay.com/,+1 609-898-1198,highlandhousecapemay@mail.com,ThinkReservations,https://secure.thinkreservations.com/highlandhousecapemay/reservations,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/highlandhousecapemay/reservations,38.9361972,
Main Street Suite House- 5 bedrooms,ocsuites.com,https://www.ocsuites.com/,+1 757-787-2105,,SynXis / TravelClick,https://www.holidayinn.com/redirect?path=rates&brandCode=HI&hotelCode=oceaa&PMID=99502222&localeCode=en&checkInDate=18&checkInMonthYear=112025&checkOutDate=19&checkOutMonthYear=112025&numberOfAdults=1&numberOfChildren=0&numberOfRooms=1&_gl=1*7wpmgv*_gcl_au*NTAxNDc2MjkzLjE3NjYwOTE4Mzc.,,New,,PMS: SynXis / TravelClick | Booking URL: https://www.holidayinn.com/redirect?path=rates&brandCode=HI&hotelCode=oceaa&PMID=99502222&localeCode=en&checkInDate=18&checkInMonthYear=112025&checkOutDate=19&checkOutMonthYear=112025&numberOfAdults=1&numberOfChildren=0&numberOfRooms=1&_gl=1*7wpmgv*_gcl_au*NTAxNDc2MjkzLjE3NjYwOTE4Mzc.,37.6043676,
The ShoreHouse,theshorehouseoc.com,https://theshorehouseoc.com/,+1 410-213-0376,,IQWebBook,https://us01.iqwebbook.com/BIMD908/,,New,,PMS: IQWebBook | Booking URL: https://us01.iqwebbook.com/BIMD908/,38.338018,
Angel of the Sea,angelofthesea.com,http://www.angelofthesea.com/,+1 609-884-3369,,ResNexus,https://resnexus.com/resnexus/reservations/lodging/8482BD6E-9E44-4574-8800-BF801C0F11F3?&tabID=1,,New,,PMS: ResNexus | Booking URL: https://resnexus.com/resnexus/reservations/lodging/8482BD6E-9E44-4574-8800-BF801C0F11F3?&tabID=1,38.9347571,
Montego Bay Resort,montegobayresortnj.com,https://www.montegobayresortnj.com/,+1 609-523-1000,,SiteMinder,https://www.shoredecision.com/bookingvsm30/action/bookingvsm30?hotel_id=180,,New,,PMS: SiteMinder | Booking URL: https://www.shoredecision.com/bookingvsm30/action/bookingvsm30?hotel_id=180,38.9942375,
1 Mi to Outlets Ocean City: Home w/ Large Yard!,fskfamily.com,https://fskfamily.com/,+1 877-818-1014,,IQWebBook,"https://us01.iqwebbook.com/FSKFRNJ343/~/?rooms=[{%22adultsCount%22:1,%20%22childrenCount%22:0}]",,New,,"PMS: IQWebBook | Booking URL: https://us01.iqwebbook.com/FSKFRNJ343/~/?rooms=[{%22adultsCount%22:1,%20%22childrenCount%22:0}]",38.34075199999999,
AA Heart of Wildwood Motels,heartofwildwood.com,http://www.heartofwildwood.com/,+1 609-522-4090,stay@heartofwildwoodmotel.com,ASI Web Reservations,https://reservation.asiwebres.com/v5/RoomAvailability.aspx?id=603515e405254665b569f1e92c81fe78&lang=en&Curr=1,,New,,PMS: ASI Web Reservations | Booking URL: https://reservation.asiwebres.com/v5/RoomAvailability.aspx?id=603515e405254665b569f1e92c81fe78&lang=en&Curr=1,38.9848598,
Mango Motel,mangomotelwildwoods.com,https://mangomotelwildwoods.com/,+1 609-522-2067,mangomotel2023@gmail.com,ASI Web Reservations,https://reservation.asiwebres.com/v2/app_themes/default/js/DateValidation.js,,New,,PMS: ASI Web Reservations | Booking URL: https://reservation.asiwebres.com/v2/app_themes/default/js/DateValidation.js,38.9874075,
White Swan Tavern,whiteswantavern.com,http://www.whiteswantavern.com/,+1 410-778-2300,info@whiteswantavern.com,ResNexus,https://resnexus.com/resnexus/reservations/book/4671A5C6-1471-4F4F-BC37-9691F7E65B46,,New,,PMS: ResNexus | Booking URL: https://resnexus.com/resnexus/reservations/book/4671A5C6-1471-4F4F-BC37-9691F7E65B46,39.208608,
Inn at Haven Harbour,havenharbour.com,https://www.havenharbour.com/,+1 410-778-6697,email@havenharbour.com,ThinkReservations,https://secure.thinkreservations.com/havenharbour/reservations,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/havenharbour/reservations,39.1398535,
Shore Point Cottages,shorepointcottages.com,https://shorepointcottages.com/?utm_source=google&utm_medium=organic&utm_campaign=spc-gmb-listing,+1 443-856-4256,INFO@SHOREPOINTCOTTAGES.COM,Newbook,https://driveus.newbook.cloud/online/css/responsive-nimbus_2025.03.12-6942687e99059.css,,New,,PMS: Newbook | Booking URL: https://driveus.newbook.cloud/online/css/responsive-nimbus_2025.03.12-6942687e99059.css,38.3258438,
Boarding House Cape May NJ Hotel,boardinghousecapemay.com,https://boardinghousecapemay.com/,+1 609-884-4884,hello@boardinghousecapemay.com,ThinkReservations,https://secure.thinkreservations.com/boardinghousecapemay/reservations?_gl=1*sklplz*_gcl_au*NjgwMzE4NDA3LjE3NDY0NzUyMDE.*_ga*MTYxODAwMjgyNS4xNzM4MjY3ODU4*_ga_SVTSYQKYHP*czE3NDg4OTM1MDIkbzEwNSRnMSR0MTc0ODg5MzUwMiRqNjAkbDAkaDE4ODU4OTg0MjY.,,New,,PMS: ThinkReservations | Booking URL: https://secure.thinkreservations.com/boardinghousecapemay/reservations?_gl=1*sklplz*_gcl_au*NjgwMzE4NDA3LjE3NDY0NzUyMDE.*_ga*MTYxODAwMjgyNS4xNzM4MjY3ODU4*_ga_SVTSYQKYHP*czE3NDg4OTM1MDIkbzEwNSRnMSR0MTc0ODg5MzUwMiRqNjAkbDAkaDE4ODU4OTg0MjY.,38.93732869999999,
The Hen Houses,thehenhouses.com,https://thehenhouses.com/,+1 609-827-6577,info@thehenhouses.com,Cloudbeds,https://hotels.cloudbeds.com/reservation/7CV8ga,,New,,PMS: Cloudbeds | Booking URL: https://hotels.cloudbeds.com/reservation/7CV8ga,38.9831515,
Monaco Motel,themonacomotelwildwood.com,http://www.themonacomotelwildwood.com/,+1 609-522-2269,monacowaves1@gmail.com,ASI Web Reservations,https://reservation.asiwebres.com/SearchAvailability.aspx?id=d72118b274a545d4983890f391c9f0a8,,New,,PMS: ASI Web Reservations | Booking URL: https://reservation.asiwebres.com/SearchAvailability.aspx?id=d72118b274a545d4983890f391c9f0a8,38.98345320000001,
Far East Rentals,ashoreresortoceancity.com,https://ashoreresortoceancity.com/,+1 443-856-9136,,Windsurfer CRS,https://res.windsurfercrs.com/ibe/index.aspx?propertyID=17056,,New,,PMS: Windsurfer CRS | Booking URL: https://res.windsurfercrs.com/ibe/index.aspx?propertyID=17056,38.32774819999999,
Deltaville Dockside Inn,deltavilledockside.com,http://www.deltavilledockside.com/,+1 804-776-1021,,Cloudbeds,https://hotels.cloudbeds.com/reservation/FKkqgt,,New,,PMS: Cloudbeds | Booking URL: https://hotels.cloudbeds.com/reservation/FKkqgt,37.5554051,
Spacious Family Home: 9 Mi to Ocean City Boardwalk,fskfamily.com,https://fskfamily.com/,+1 877-818-1014,,IQWebBook,"https://us01.iqwebbook.com/FSKFRNJ343/~/?rooms=[{%22adultsCount%22:1,%20%22childrenCount%22:0}]&_gl=1*rkeldc*_gcl_au*MTY3ODc1NzMwNS4xNzY2MDkxOTYy",,New,,"PMS: IQWebBook | Booking URL: https://us01.iqwebbook.com/FSKFRNJ343/~/?rooms=[{%22adultsCount%22:1,%20%22childrenCount%22:0}]&_gl=1*rkeldc*_gcl_au*MTY3ODc1NzMwNS4xNzY2MDkxOTYy",38.364633,
Shelton Motel,sealoftoceanfronthotel.com,https://sealoftoceanfronthotel.com/,+1 609-886-1341,info@sealoftoceanfronthotel.com,Mews,https://app.mews.com/distributor/distributor.min.js,,New,,PMS: Mews | Booking URL: https://app.mews.com/distributor/distributor.min.js,39.0129506,
Royal Court Motel,royalcourtmotel.com,http://royalcourtmotel.com/,+1 609-522-5398,,ASI Web Reservations,https://reservation.asiwebres.com/SearchAvailability.aspx?id=84221282feec45c3aea6783acbb8e989,,New,,PMS: ASI Web Reservations | Booking URL: https://reservation.asiwebres.com/SearchAvailability.aspx?id=84221282feec45c3aea6783acbb8e989,38.983984,
Paradise Plaza Inn,paradiseplazainn.com,http://www.paradiseplazainn.com/,+1 410-289-6381,info@paradiseplazainn.com,Windsurfer CRS,https://res.windsurfercrs.com/ibe/index.aspx?propertyID=14874&nono=1,,New,,PMS: Windsurfer CRS | Booking URL: https://res.windsurfercrs.com/ibe/index.aspx?propertyID=14874&nono=1,38.3394241,
Cottage Country Crafts,ococean.com,https://www.ococean.com/plan-your-visit/,+1 410-364-5511,ask@ococean.com,BookDirect,https://ococean.bookdirect.net/,,New,,PMS: BookDirect | Booking URL: https://ococean.bookdirect.net/,38.9383112,
Sands Motel,sandsmotelww.com,https://www.sandsmotelww.com/,+1 609-522-0331,,InnRoad,https://sandsmotel.client.innroad.com/,,New,,PMS: InnRoad | Booking URL: https://sandsmotel.client.innroad.com/,38.98182389999999,
The Inn at Lewes Rehoboth Beach,theinnatlewes.com,https://theinnatlewes.com/,+1 302-200-9978,info@theinnatlewes.com,IQWebBook,https://us01.iqwebbook.com/DRDLDE981/,,New,,PMS: IQWebBook | Booking URL: https://us01.iqwebbook.com/DRDLDE981/,38.7419619,
King Charles Hotel,kingcharleshotel.com,http://www.kingcharleshotel.com/,+1 410-289-6141,kingcharleshotel@comcast.net,IQWebBook,https://us01.iqwebbook.com/KCHMD317/,,New,,PMS: IQWebBook | Booking URL: https://us01.iqwebbook.com/KCHMD317/,38.3428431,
The Spinnaker Hotel,thespinnakeroc.com,http://www.thespinnakeroc.com/,+1 410-289-5444,SPINNAKER@OCROOMS.COM,SynXis / TravelClick,https://reservations.travelclick.com/9882158?HotelId=9882158&languageid=1&rooms=1&adults=1&_gl=1*11febmx*,,New,,PMS: SynXis / TravelClick | Booking URL: https://reservations.travelclick.com/9882158?HotelId=9882158&languageid=1&rooms=1&adults=1&_gl=1*11febmx*,38.347704,
Harrison Hall Hotel,harrisonhalloc.com,http://www.harrisonhalloc.com/,+1 410-289-6222,,SynXis / TravelClick,https://reservations.travelclick.com/109131?,,New,,PMS: SynXis / TravelClick | Booking URL: https://reservations.travelclick.com/109131?,38.3446017,
Blue Fish Inn,bluefishinn.com,https://www.bluefishinn.com/?utm_source=google&utm_medium=organic&utm_campaign=gmblisting,+1 609-884-4838,info@bluefishinn.com,RezStream,https://guest.rezstream.com/search/the-blue-fish-inn,,New,,PMS: RezStream | Booking URL: https://guest.rezstream.com/search/the-blue-fish-inn,38.9370649,
Hotel Monte Carlo,thehotelmontecarlo.com,https://www.thehotelmontecarlo.com/,+1 410-289-7101,hotel@montecarlooc.com,Cloudbeds,https://montecarlo.cloudbeds.com/#/,,New,,PMS: Cloudbeds | Booking URL: https://montecarlo.cloudbeds.com/#/,38.334292,
